s.no,borrower,financial dob,nonfinancial dob,annual_income,profession,marital status,institute_name,course_name,loan amount,course_cost,dpd_days,current_status,current city,current state,current pincode,permanent city,permanent state,interest rate,enach activated,imdb success,protection_type_name,cibilscore,lender_name,company name,disbursal date,work experience,loan category,loan type,sector,residence type,tenure,emi_amount
12,Sara Mccoy,1970-09-14,1960-01-02,72712,"Engineer, land",Single,Mcpherson-Lara,century,28967,37555,87,Fully Disbursed,East Kyle,Arizona,72330,West Geraldview,Hawaii,14.61,True,Yes,force,630,George and Sons,Ayala Ltd,1999-11-20,19,Education loan,College education,understand,Owned,10,1190
13,Lauren Jones,1994-01-11,1962-11-15,129375,Health promotion specialist,Single,Williams-Flores,positive,46882,34017,198,EMI Running,Kingland,Missouri,33632,North Normaton,Maine,5.24,False,Yes,yet,800,Brown Group,Mccormick-Flores,1980-04-04,13,Education loan,College education,coach,Rented,12,4970
14,Stephanie Romero,1962-03-11,1991-05-29,147553,Art gallery manager,Married,"Cox, Moreno and Wells",floor,32222,35785,3,Fully Disbursed,East Angelica,Tennessee,75999,Lake Caleb,Mississippi,6.39,True,No,small,628,Patterson-Doyle,Nichols-Johnson,2003-01-16,11,Education loan,Certification,across,Owned,19,1919
15,Michelle Martin,1986-10-07,1978-09-06,67294,"Administrator, arts",Divorced,Sanchez-Simmons,agency,46830,5429,135,Fully Disbursed,Port Ericport,Nevada,35599,Ingramton,Kentucky,8.89,True,No,spend,427,"Robertson, Saunders and Kent",Shields LLC,2001-04-18,9,Education loan,Certification,that,Rented,26,3299
16,Gary Conner,1962-06-26,1970-07-30,66425,"Radiographer, diagnostic",Married,Roberts LLC,task,27086,37001,75,Fully Disbursed,North Derrick,Illinois,01267,West Davidshire,Utah,18.02,True,No,country,562,Sherman Ltd,"Baker, Walker and Gonzalez",1980-06-16,0,Education loan,School Education,law,Owned,30,1486
17,Alexis Walker,1967-04-14,1973-02-25,64284,Electrical engineer,Divorced,Keller-Smith,despite,33732,21222,101,EMI Running,North Jamesborough,Vermont,96417,South Michaelmouth,South Carolina,15.03,False,No,administration,349,"Mcmillan, Terry and Cordova",Williamson LLC,1972-06-13,18,Education loan,College education,change,Rented,7,4286
18,Eric Smith,1992-12-20,1996-12-04,144284,Dance movement psychotherapist,Single,Lawrence PLC,increase,9112,16911,320,EMI Running,Nicholasville,Louisiana,37616,Lloydburgh,Delaware,18.38,True,Yes,result,756,Lawson LLC,Rodriguez-Griffith,2013-01-02,2,Education loan,School Education,finish,Rented,30,3239
19,Kristin Watson,1962-04-08,2005-07-26,61600,Conference centre manager,Divorced,"White, Jackson and Campbell",amount,38000,29990,85,EMI Running,West Kristinebury,New Jersey,57424,Bowmanchester,Minnesota,7.35,True,Yes,evening,874,Lee-Ramsey,Morton and Sons,1995-02-07,22,Education loan,School Education,beat,Owned,13,3490
20,Melissa Crawford,1972-04-27,1967-04-23,193066,"Engineer, agricultural",Single,"Valdez, Murray and Valencia",avoid,37400,8700,147,EMI Running,New Bradbury,West Virginia,43824,Greenberg,Rhode Island,13.87,True,Yes,exist,333,Jennings PLC,Cohen Inc,1987-05-21,34,Education loan,School Education,around,Rented,25,4589
21,Mariah Bean,1975-04-04,2006-07-12,124598,Civil Service fast streamer,Single,Bowman LLC,get,5719,23000,164,EMI Running,East Josephmouth,New Jersey,77877,Anthonyburgh,Arkansas,8.31,True,Yes,she,753,"Jones, Gibbs and Lam",Eaton-Warren,1982-12-30,24,Education loan,College education,chair,Rented,4,4246
22,Rebecca Gray,1979-11-07,1984-07-12,193261,Actor,Married,"Gonzalez, Wilkins and Sharp",itself,18830,20757,191,Fully Disbursed,North Bryanton,North Carolina,87249,Bruceland,Rhode Island,12.91,False,No,listen,470,Bailey-Gutierrez,Gilbert-Howell,1992-11-24,12,Education loan,Certification,cell,Owned,12,1359
23,Linda Brown,1990-06-17,1992-05-18,182222,Senior tax professional/tax inspector,Single,James and Sons,include,49581,7086,45,EMI Running,East Susan,California,12459,New Brettmouth,Wyoming,18.43,False,Yes,page,303,Roberts PLC,Wong-Cross,1977-12-20,38,Education loan,School Education,age,Rented,26,1029
24,Judy Travis,2005-07-23,1988-09-23,84459,Equality and diversity officer,Single,Wang PLC,enough,35470,37711,221,Fully Disbursed,South Danielfurt,Vermont,53369,Martinezmouth,Rhode Island,18.97,False,No,protect,759,Reeves-Williams,"Terry, Johnson and Trujillo",1997-08-01,15,Education loan,School Education,list,Owned,23,3004
25,Kayla Gonzalez,1975-04-12,1981-11-21,89070,Government social research officer,Married,"Norris, Wilson and Cohen",you,21963,36086,221,EMI Running,North Jenniferview,Oregon,87480,Kaylamouth,New York,6.96,True,No,main,335,Whitaker Inc,Shelton Ltd,1990-07-23,4,Education loan,School Education,move,Rented,4,3086
26,Rebecca Quinn,1977-06-02,1966-01-08,29414,Dispensing optician,Single,Gutierrez Group,catch,6599,12127,147,Fully Disbursed,New Samantha,Alabama,79215,New Donna,Iowa,7.4,False,No,visit,813,Mason Group,"Robinson, Wilcox and Brown",2024-05-16,5,Education loan,School Education,character,Rented,27,3729
27,Jeremy Wilson,1993-03-22,1966-07-15,73214,"Therapist, horticultural",Divorced,"Thompson, Nguyen and Marshall",side,36290,11420,270,EMI Running,Port Emilymouth,Nevada,09572,New Roy,Idaho,12.06,True,No,remain,375,Craig Ltd,Clark-Wells,1976-07-03,25,Education loan,School Education,continue,Owned,24,2944
28,Daniel Espinoza,1965-12-24,2002-12-10,171756,"Scientist, physiological",Married,Johnson LLC,participant,39051,38152,162,Fully Disbursed,Josephton,Oklahoma,64049,Port Daniellestad,New Jersey,9.06,False,Yes,leave,560,Nelson Inc,Smith-Pruitt,2013-11-13,19,Education loan,College education,grow,Rented,26,4211
29,Mark Cox,1993-04-15,1977-08-28,99518,Paediatric nurse,Divorced,Johnson-Martin,see,34918,14974,297,Fully Disbursed,Kerrberg,California,72622,Buchananview,South Carolina,10.75,False,No,remember,624,Clark-Price,Leon-Cox,2008-11-02,16,Education loan,College education,statement,Rented,27,1093
30,Karen Moran,1973-12-19,1974-03-06,195186,"Scientist, biomedical",Divorced,"Spencer, Smith and Wise",off,13187,6476,83,Fully Disbursed,Alexandraborough,Wyoming,50225,East Denisetown,Alaska,7.07,True,No,money,533,Day Ltd,"Leblanc, Garcia and Kidd",1973-10-26,11,Education loan,College education,town,Owned,8,1436
31,Andrea Kerr,1968-10-12,1968-01-27,100191,Tree surgeon,Divorced,Bowen PLC,think,18309,35210,4,Fully Disbursed,Porterview,Virginia,18124,Lake Deborahville,Washington,18.12,True,No,have,450,Jackson-Powell,Davis-Jenkins,2015-04-10,10,Education loan,College education,environment,Owned,7,3329
32,Dalton Moore MD,1976-04-03,1986-12-20,195841,Field seismologist,Married,"Williams, Green and Cunningham",street,15548,27652,312,EMI Running,South Stephanie,Pennsylvania,28457,Kristinafurt,Alaska,16.58,False,No,quality,301,Terrell-Richardson,Page Inc,2001-06-22,19,Education loan,Certification,east,Rented,28,2803
33,Hannah Moore,1996-03-24,1970-01-25,87694,Insurance account manager,Single,Terry-Frost,operation,5636,4133,167,EMI Running,Port Jackiestad,Arizona,86906,Griffinshire,Oklahoma,19.46,True,No,professional,391,Hall and Sons,Stevens Ltd,1979-11-23,24,Education loan,School Education,range,Owned,6,1945
34,Thomas Williams,1986-07-01,1958-08-01,144397,Adult guidance worker,Single,"Salas, Martin and Cordova",imagine,12727,27696,213,Fully Disbursed,Whiteheadport,Wyoming,97165,Andreashire,North Carolina,17.07,False,Yes,time,535,"Schwartz, Nixon and Gomez","Gallagher, Cunningham and Rose",2016-12-30,6,Education loan,Certification,scientist,Rented,2,4132
35,Raymond Mccormick,2000-05-05,1984-01-02,80688,Solicitor,Divorced,Harrison LLC,Democrat,44169,31213,292,Fully Disbursed,Joelside,Alabama,51359,New Lisa,Maine,18.82,False,No,recently,465,"Lawrence, Phillips and Hart","Lane, Castro and Delgado",2010-09-25,25,Education loan,College education,energy,Owned,25,2328
36,Gary Robinson,1977-09-26,1959-06-30,192867,"Engineer, biomedical",Divorced,"Clark, Johnson and Huynh",culture,43588,39704,118,EMI Running,Smithburgh,Maryland,39575,West Dennis,New Mexico,6.1,False,Yes,whole,780,"Cole, Larson and Adams",Payne-Phillips,1989-10-14,11,Education loan,School Education,former,Rented,26,4272
37,Gabriel Hamilton,2003-03-16,1989-11-05,104121,Garment/textile technologist,Single,Mitchell-Powell,report,11905,7311,105,EMI Running,Foxchester,Washington,91182,North Julie,Louisiana,6.14,True,No,collection,882,Nelson Ltd,"Mccormick, Paul and Johnson",2005-09-11,26,Education loan,School Education,minute,Owned,9,2476
38,Steven Shaw,1979-02-18,2001-06-09,169425,"Teacher, special educational needs",Divorced,"Yang, Dillon and Ryan",and,16179,4923,230,EMI Running,New Brittany,Delaware,79000,South Joseph,Arkansas,16.05,False,No,know,799,"Christensen, Small and Smith",Green PLC,1971-07-19,11,Education loan,Certification,strategy,Rented,20,1539
39,Ashley Hubbard,1971-10-17,1997-10-31,151519,Photographer,Married,"Nelson, Smith and Reyes",research,44720,30932,351,Fully Disbursed,Daniellechester,Mississippi,57238,East Christopher,Missouri,16.54,False,No,life,326,Contreras-Smith,Welch Inc,2008-11-16,6,Education loan,College education,recently,Owned,26,3669
40,Rodney Clark,1985-01-08,1960-08-23,118410,Agricultural consultant,Married,Patrick Inc,travel,32700,35757,8,Fully Disbursed,Port Kerryburgh,Kentucky,46867,Flynnfort,Connecticut,18.94,True,Yes,where,308,Jenkins LLC,Thomas PLC,1978-08-31,8,Education loan,School Education,employee,Owned,25,3673
41,Teresa Williamson,1977-05-26,2002-04-22,134513,Print production planner,Married,Robbins Group,again,16343,8166,1,EMI Running,South Danielside,Connecticut,37535,Port Ericburgh,Minnesota,9.24,True,Yes,assume,384,Sims-Clark,Wood Ltd,2008-12-28,5,Education loan,Certification,everyone,Rented,6,3907
42,Robert Martinez,1998-05-28,1981-12-10,73849,Health and safety adviser,Divorced,Harris-King,teacher,27382,32565,330,EMI Running,Christophermouth,Iowa,81688,Blakechester,Montana,7.66,False,Yes,wrong,353,Kemp Inc,Lowery-Stevens,1990-01-12,22,Education loan,Certification,something,Rented,29,4904
43,Jessica Oliver,1978-08-14,1975-11-04,134126,Legal executive,Single,"Larson, Juarez and Clay",person,17263,16788,297,EMI Running,East Derrick,Wisconsin,80103,Lake Lorraine,Montana,13.09,True,Yes,watch,502,Montgomery-Adams,Williams PLC,1993-08-08,24,Education loan,Certification,security,Owned,13,1343
44,Robin Perry,1979-09-07,1975-07-12,42900,"Surveyor, planning and development",Divorced,Thomas-Ruiz,add,37478,32955,212,EMI Running,Lake Elizabeth,Montana,81484,Lake Lorraineburgh,Maryland,6.7,True,Yes,watch,615,Coleman-Gibson,Pruitt-Kline,1974-12-19,1,Education loan,School Education,situation,Rented,26,2143
45,Traci Dodson,1988-12-03,1973-05-02,159598,Dramatherapist,Single,Bennett-Contreras,war,22217,13990,218,EMI Running,Port Williamtown,Montana,90204,Wilsontown,Wisconsin,15.36,True,No,build,411,"Williams, Morgan and Wilkins",Lopez Group,1973-11-14,24,Education loan,Certification,or,Rented,27,4370
46,Abigail Lopez,2001-10-17,1991-08-22,136213,Press photographer,Married,"Stephens, Jordan and Hale",guy,27585,20102,130,Fully Disbursed,New Theresa,Nebraska,03746,Port Tamara,Indiana,19.74,False,Yes,both,430,Byrd-Foley,Smith and Sons,1998-06-02,10,Education loan,College education,herself,Rented,5,4282
47,Alan Garcia,2006-01-08,1989-09-07,167202,Sports administrator,Divorced,Guzman-Taylor,push,49511,21813,243,EMI Running,Lake Kristinaport,New Mexico,63588,Transhire,Louisiana,19.71,False,Yes,company,364,"Griffin, Cole and Coleman",Adams Inc,1990-11-12,38,Education loan,School Education,health,Owned,27,1239
48,Michael Barber,1983-02-14,1960-10-07,102121,Research scientist (medical),Divorced,Herrera-Martinez,act,45517,35120,142,Fully Disbursed,Lake Hannahland,Maine,81106,Sandrastad,Idaho,6.19,True,Yes,individual,671,Gordon PLC,Jones-King,1989-10-09,36,Education loan,Certification,court,Owned,11,4728
49,James Day,1986-10-28,1996-04-02,195030,Archaeologist,Married,Clements-Scott,federal,33336,16441,350,EMI Running,Jonathanbury,Louisiana,60379,Petersside,Utah,19.94,False,No,tree,688,Marshall-Skinner,Wells-Miranda,2002-03-24,36,Education loan,School Education,coach,Rented,30,4286
50,Vernon Adams,1986-04-02,1988-03-29,80539,"Designer, multimedia",Divorced,Mason Inc,value,39983,19001,14,EMI Running,Aliciaview,New York,89092,Dennisville,Idaho,10.75,False,No,region,789,Owens-Preston,"Short, Ramos and Nash",1975-09-26,30,Education loan,School Education,fight,Owned,26,4837
51,Derek Diaz,1970-07-03,1969-05-19,154535,Town planner,Divorced,Watson Group,big,11087,26322,16,EMI Running,Robertston,Texas,92522,Reedburgh,Missouri,9.03,True,Yes,class,773,Johnson Inc,Martinez Group,1991-04-29,27,Education loan,Certification,act,Owned,3,2288
52,Kyle Smith,1967-11-05,1969-11-25,29200,English as a second language teacher,Single,Ramos-Smith,itself,14203,33289,144,EMI Running,Justinchester,Alabama,57094,Hornemouth,Michigan,10.38,True,No,one,846,"Padilla, Atkinson and Ayala",Campbell-Brown,1993-06-22,2,Education loan,College education,enough,Owned,30,3207
53,Patricia Mason,1988-07-03,1965-05-25,110654,"Scientist, product/process development",Divorced,Vega-Harrison,by,14101,30506,12,EMI Running,New Robertmouth,New Hampshire,28826,Forbesville,Delaware,19.13,True,No,account,514,Foley PLC,Shaw LLC,2006-12-30,3,Education loan,College education,article,Owned,22,4497
54,Christopher Tapia,1996-07-17,2003-01-01,49827,"Engineer, broadcasting (operations)",Single,Bray-Monroe,practice,12413,11596,257,Fully Disbursed,New Davidberg,Nebraska,86614,Medinashire,Montana,8.88,True,No,white,408,"Brown, Castillo and Mills","Lutz, Villa and Marquez",2017-09-14,10,Education loan,College education,follow,Rented,27,4986
55,Randy Sanders,1987-08-30,1990-02-02,148143,Animal technologist,Divorced,"Herman, Mendez and Sawyer",season,27405,32917,313,EMI Running,South Austin,New Hampshire,42768,Hartmantown,Utah,15.29,True,No,employee,662,"Ruiz, Williams and Cook",Chambers and Sons,2021-03-31,19,Education loan,College education,tend,Owned,7,2902
56,Kevin Long,1983-09-18,1988-01-18,89289,Market researcher,Married,"Norton, Castro and Pruitt",role,30144,14184,163,Fully Disbursed,Port Tammyland,Alaska,76042,South Denisemouth,Kansas,17.17,True,No,effort,349,Nixon-Hernandez,Lawson PLC,2016-10-19,26,Education loan,College education,list,Rented,11,3312
57,Jo Welch,1959-06-11,1975-02-02,33174,Insurance underwriter,Single,Raymond-Williams,yeah,17011,12873,126,EMI Running,Lake Jerry,Missouri,04005,Andrewport,Colorado,10.25,True,No,man,651,Weber Inc,Nguyen-Williams,1994-06-18,13,Education loan,College education,keep,Owned,8,2092
58,Cody Wade,1997-09-16,1984-07-16,148188,"Pharmacist, community",Married,King and Sons,opportunity,31911,10913,341,Fully Disbursed,Lynchburgh,South Dakota,56119,East Jenniferview,Utah,11.95,True,Yes,believe,701,Higgins Ltd,Moon LLC,1977-09-11,33,Education loan,Certification,large,Rented,6,4781
59,Lucas Jordan,1975-10-08,1974-07-08,176067,Legal secretary,Married,"Johnston, Everett and Becker",area,39297,26696,71,EMI Running,Veronicatown,Ohio,71878,Danielbury,Kansas,10.76,False,No,Mrs,858,"Bush, Bradley and Mcmahon","Willis, Wang and Mcgee",1980-04-07,38,Education loan,School Education,none,Owned,8,4001
60,George Cummings,1989-06-29,1993-01-30,138256,Food technologist,Divorced,Brewer-King,great,42797,14875,240,Fully Disbursed,Keithhaven,Alaska,51344,Charlesview,Oklahoma,9.88,False,Yes,interest,832,"Woodard, Torres and Reyes",Ross PLC,1979-10-12,2,Education loan,School Education,weight,Owned,27,2043
61,Madison Bailey,1985-08-21,1965-09-20,45306,"Horticulturist, amenity",Divorced,Nelson Group,option,42905,31276,231,EMI Running,South Margaretville,Rhode Island,96404,Petersside,Missouri,14.96,False,No,seven,603,"Morris, Garcia and Ortega","Mccarthy, Jones and Miller",1983-12-23,15,Education loan,Certification,modern,Owned,23,3921
62,Alexis Moore,1958-08-05,1991-08-08,168504,Seismic interpreter,Single,Flores-Boyer,arm,10766,25954,322,EMI Running,New Sean,Connecticut,96155,Port Ryanview,Missouri,5.91,True,Yes,visit,346,Perry Inc,Young Inc,1994-12-14,16,Education loan,Certification,author,Rented,24,2448
63,Destiny Adams,1995-12-23,1964-05-10,44125,"Radiographer, therapeutic",Divorced,"Johnson, Banks and Sherman",pretty,11307,39144,136,Fully Disbursed,Anthonystad,Virginia,14921,New Willie,Maine,17.1,False,Yes,space,664,Johnson-Fields,Steele-Avila,1976-01-09,5,Education loan,School Education,kid,Rented,21,1586
64,Amanda Moore,2002-05-22,1983-01-07,171559,Neurosurgeon,Divorced,"Contreras, Booth and Meyer",view,30825,33652,19,EMI Running,Port Catherine,Connecticut,15600,South Heatherland,Michigan,5.32,True,No,civil,424,Fox PLC,Wade-Oconnell,1980-07-06,6,Education loan,School Education,care,Rented,22,2021
65,Karen King,1993-05-24,1961-08-23,73136,"Lecturer, further education",Divorced,"Jackson, Johnson and Rivera",that,15413,10855,297,EMI Running,Port Wayne,Nevada,43159,Barbaraport,Vermont,11.42,False,No,bag,316,"Baker, Johnson and Dixon",Zimmerman-Richards,2014-09-07,22,Education loan,College education,will,Owned,18,1195
66,Victor Grant,1998-11-27,1988-03-20,83708,"Engineer, electronics",Divorced,"Cole, White and Boyd",along,17100,12796,10,Fully Disbursed,North Richard,North Dakota,30866,Lake Jason,Kentucky,14.6,False,No,head,889,"Whitney, Weaver and Gates",Hanson LLC,2002-05-10,35,Education loan,College education,when,Owned,16,4922
67,Kevin Larson,2004-06-12,1966-05-19,55595,"Psychologist, clinical",Single,Cruz-Adams,manage,42685,31554,273,EMI Running,New Johntown,California,15263,New Jason,Massachusetts,10.15,True,No,money,514,Ward PLC,"Green, Higgins and Wright",1986-08-13,40,Education loan,College education,material,Rented,27,1207
68,Vincent Duran,1977-11-05,1996-09-01,37751,"Teacher, adult education",Married,"Garcia, Cunningham and Smith",claim,35927,3103,80,Fully Disbursed,East Jennifer,Rhode Island,43203,East Cameron,Oklahoma,5.83,True,Yes,along,597,Salazar-Burton,Maldonado-Fox,2017-07-23,33,Education loan,Certification,age,Owned,29,3562
69,Devin Jackson,1994-08-29,1961-03-21,24777,Landscape architect,Married,Odom-Castillo,help,35953,9472,0,Fully Disbursed,Doyletown,Kentucky,45563,Lake Danielmouth,Utah,18.74,True,No,strategy,681,Vargas Ltd,"Cunningham, King and Gutierrez",1986-10-22,30,Education loan,Certification,others,Owned,13,3291
70,Cheryl Patterson,1976-12-13,1969-03-02,22109,Sub,Single,Brown-Massey,doctor,5418,9496,36,Fully Disbursed,East John,New Hampshire,51556,Williamsville,Texas,14.29,False,No,stay,519,Wilson Group,"Scott, Silva and Peck",1998-03-23,13,Education loan,College education,painting,Owned,2,1736
71,James Carpenter,2005-02-24,1999-11-03,155196,"Administrator, arts",Married,Miller PLC,box,29129,30994,266,Fully Disbursed,Alyssafort,South Carolina,97242,Thomasfurt,North Carolina,13.0,True,No,anyone,876,"Green, Hill and Davidson",Hooper-Jarvis,2022-08-06,37,Education loan,Certification,painting,Owned,16,1655
72,Amy Griffith,1979-09-13,1983-04-09,52464,Research scientist (maths),Single,Hicks PLC,size,16353,17405,97,EMI Running,West Kelly,Arkansas,48890,South Teresa,Maryland,13.0,True,Yes,maintain,560,"Bryant, Villarreal and White","Ray, Walter and Medina",2000-12-23,14,Education loan,Certification,them,Rented,14,4679
73,Jimmy Lara,1974-03-31,1978-08-03,138611,Dancer,Married,Park-Russell,hope,49259,32551,140,Fully Disbursed,Pattonberg,Hawaii,11556,East Christopher,Arkansas,17.43,False,No,yard,539,Keith-Sanders,Calderon LLC,2005-02-09,31,Education loan,Certification,Mr,Owned,20,4537
74,Sean Johnson,1988-04-30,1996-09-03,31891,"Surveyor, insurance",Divorced,Nelson Inc,new,33883,39031,187,EMI Running,Yatesstad,West Virginia,64071,East David,Alaska,16.09,False,No,move,850,"Phillips, Lewis and Kirk",Taylor-Cox,1989-01-11,17,Education loan,School Education,professor,Owned,2,1234
75,Amanda Waters,1998-08-21,1988-07-30,151420,"Engineer, civil (consulting)",Single,Dawson PLC,something,21594,14893,305,Fully Disbursed,South Zacharystad,Delaware,47619,Lake Christopherfort,North Dakota,12.61,False,No,break,774,"Mejia, Franklin and Garcia","Ingram, Watson and Mejia",2004-04-20,5,Education loan,Certification,firm,Rented,21,2662
76,Jeffrey Marshall,1991-08-25,2002-09-06,150495,"Administrator, local government",Single,Bowers-Barnett,Mr,23461,15042,129,Fully Disbursed,Ashleychester,Montana,58031,Lake Davidside,Arkansas,16.88,False,Yes,have,363,"Buchanan, Anderson and Barajas",Leach-Jefferson,1995-09-29,8,Education loan,College education,during,Rented,14,2355
77,Laura Collins,1973-03-24,1981-12-19,49601,Newspaper journalist,Single,Watson Group,page,16699,28867,78,Fully Disbursed,New Marytown,Oklahoma,88463,Perkinstown,Nebraska,15.64,False,No,eat,662,"Walters, Olson and Weiss","Brown, Lewis and Ferguson",1980-01-14,27,Education loan,School Education,research,Rented,22,4460
78,Sara Turner,1972-06-12,2003-09-02,161054,Textile designer,Divorced,Brennan PLC,discover,13244,22800,232,EMI Running,Patriciachester,Illinois,40215,Benjaminshire,Louisiana,6.81,True,Yes,apply,643,Davis-Hill,"Gordon, Wright and Smith",1982-01-10,12,Education loan,Certification,industry,Owned,3,4940
79,Melissa Thompson,1995-10-22,1973-03-18,79802,"Engineer, civil (consulting)",Divorced,"Baker, Washington and Crosby",address,19415,21693,5,Fully Disbursed,Millsside,Louisiana,77438,Barrerabury,Utah,19.69,True,No,quite,826,Fritz-Flores,Stevens Ltd,1980-02-23,24,Education loan,Certification,age,Rented,4,3835
80,Joseph Alvarado,1971-09-11,2002-07-07,91695,"Chemist, analytical",Married,Trevino-Torres,similar,12322,37980,97,Fully Disbursed,West Victoria,South Carolina,36520,Lake Justinfort,Oklahoma,15.85,False,No,wall,865,Aguilar-Rivera,Garcia Inc,2004-06-27,23,Education loan,Certification,whether,Owned,23,1899
81,Jennifer Lee,1971-09-20,1988-08-18,140696,Optometrist,Married,"Ramirez, Graves and Smith",line,45755,23580,114,Fully Disbursed,North Heatherton,New Jersey,06239,Thomasview,Idaho,10.13,False,Yes,my,761,"Powers, Stewart and Finley",Parker Group,2000-03-23,28,Education loan,School Education,trouble,Owned,22,2337
82,Joseph Robinson,1991-08-01,1972-09-22,57796,Soil scientist,Married,"Schwartz, Wood and Scott",above,28084,24760,223,EMI Running,East Deniseshire,New Mexico,33361,Griffinport,Illinois,7.56,True,Yes,particularly,508,Orozco-Perez,Hines Group,2003-01-04,3,Education loan,College education,office,Owned,1,4058
83,Elizabeth Anderson,1970-01-04,1986-04-09,169700,Telecommunications researcher,Married,Castillo-Yang,professional,49474,5272,249,EMI Running,Garrettchester,Montana,32228,Lake Gregory,Delaware,5.92,False,No,make,480,Patterson Ltd,"Gamble, Mayo and Smith",2021-10-10,33,Education loan,School Education,notice,Owned,25,1921
84,Jessica Brown,1982-04-10,1958-08-20,40645,Broadcast journalist,Divorced,Gilbert-Heath,add,46169,17313,295,Fully Disbursed,Morenochester,New Mexico,62676,Lindabury,West Virginia,10.94,True,No,fact,551,Gordon PLC,Butler Ltd,1977-12-25,2,Education loan,School Education,set,Rented,25,1548
85,Joseph Cain,2004-09-27,1988-04-16,168371,Hospital doctor,Divorced,"Cannon, Jones and Avery",quality,22861,33883,306,Fully Disbursed,Hatfieldbury,Vermont,12529,Rushland,Montana,7.56,True,Yes,window,771,Barry-Huerta,Rodriguez Ltd,2014-07-25,16,Education loan,Certification,ask,Owned,5,2934
